,0,1
503,cosyn-ltd,csstechnergy
504,country-club-hospitality-&-holidays-ltd,countryclub
505,country-condos-ltd,councodos
506,covidh-technologies-ltd,aptusind
507,cpse-etf,cpseetf
508,cravatex-ltd,cravatex
509,crazy-infotech-ltd,crazyinfo
510,creative-eye-ltd,creativeye
511,creative-merchants-ltd,stk-538504
512,cressanda-solutions-ltd,cressandasol
513,crest-animation-studios-ltd,crestani
514,crest-ventures-ltd,sharresltd
515,crew-bos-products-ltd,crewbos
516,csl-finance-ltd,conssec
517,ctil-ltd,ctil
518,cubex-tubings-ltd,cubextub
519,cupid-ltd,cupidltd
520,cupid-trades-&-finance-ltd,cupidtrades
521,cura-technologies-ltd,curatech
522,cyber-media-,cybermedia
523,cyberscape-multimedia-ltd,cybermulti
524,cybertech-systems-&-software-ltd,cybertech
525,d&h-india-ltd,dhindia
526,d-link-,dlinkindia
527,dai-ichi-karkaria-ltd,daichikark
528,daikaffil-chemicals-india-ltd,daikaffilche
529,dalal-street-investments-ltd,dalalstreet
530,dalmia-bharat-sugar-&-industries-ltd,dalmiasug
531,damodar-industries-ltd,damodarthrea
532,danlaw-technologies-india-ltd,danlawtech
533,datamatics-global-services-ltd,datamatics
534,daulat-securities-ltd,daulatsec
535,dazzel-confindive-ltd,dazzelconfi
536,db-realty-ltd,dbrealty
537,dcm-financial-services-ltd,dcmfinserv
538,dcm-ltd,dcm
539,dcm-shriram-industries-ltd,dcmsrmind
540,dcw-ltd,dcw
541,de-nora-india-ltd,denora
542,deccan-cements-ltd,deccance
543,deccan-chronicle-holdings-ltd,dchl
544,deccan-gold-mines-ltd,deccangold
545,deco-mica-ltd,decomica
546,decolight-ceramics-ltd,decolight
547,deep-industries-ltd,deepind
548,deepak-fertilisers-&-petrochemicals-corporation-ltd,deepakfert
549,deepak-nitrite-ltd,deepakntr
550,deepak-spinners-ltd,deepakspin
551,delta-leasing-&-finance-ltd,deltaleasfin
552,delta-magnets-ltd,deltamagnt
553,den-networks-ltd,den
554,dena-bank,denabank
555,denis-chem-lab-ltd,denischem
556,denso-india-ltd,denso
557,devine-impex-ltd,devineimpex
558,dfm-foods-ltd,dfmfoods
559,dhampur-sugar-mills-ltd,dhampursug
560,dhampure-speciality-sugars-ltd,dhampuresug
561,dhanalaxmi-roto-spinners-ltd,dhanrotospin
562,dhanlaxmi-bank-ltd,dhanbank
563,dhanlaxmi-cotex-ltd,dhancotex
564,dhanlaxmi-fabrics-ltd,dhanlaxmifab
565,dhanus-technologies-ltd,dhanus
566,dharani-finance-ltd,dharanifin
567,dharani-sugars-&-chemicals-ltd,dharsugar
568,dharti-proteins-ltd,dhartiprotei
569,dhenu-buildcon-india-ltd,dhenubuildco
570,dhoot-industrial-finance-ltd,dhootindfin
571,dhp-india-ltd,dhpindia
572,dhruv-estates-ltd,dhruvestates
573,dhruva-capital-services-ltd,dhruvacap
574,dhunseri-investments-ltd,dhuninv
575,dhunseri-petrochem-ltd,dptl
576,dhunseri-tea-&-industries-ltd,dtil
577,diamant-infrastructure-ltd,diamantinfra
578,diamines-&-chemicals-ltd,diamineschem
579,diamond-infosystems-ltd,diamondinfo
580,diamond-power-infrastructure-ltd,diapower
581,diana-tea-company-ltd,dianatea
582,dic-india-ltd,dicind
583,digjam-ltd-,digjam
584,diligent-industries-ltd,diligentind
585,dion-global-solutions-ltd,fortisfin
586,disa-india-ltd,georgfisch
587,divine-multimedia-,divinemulti
588,divinus-fabrics-ltd,stk-538432
589,divya-jyoti-industries-ltd,divyajyoti
590,dmc-education-ltd,dmcedu
591,dolat-investments-ltd,dolatinvest
592,dollex-industries-ltd,dollexind
593,dolphin-medical-services-ltd,dolphinmedi
594,dolphin-offshore-enterprises-,dolphinoff
595,donear-industries-ltd,donear
596,dot-com-global-ltd,percimdiam
597,dq-entertainment-,dqe
598,dr-datasons-labs-ltd,aanjaneya
599,dredging-corporation-of-india-ltd,dredgecorp
600,ds-kulkarni-developers-ltd,dskulkarni
601,ducon-infratechnologies-ltd,dynatech
602,dujodwala-paper-chemicals-ltd,dujpaperchem
603,duke-offshore-ltd,dukeoffshore
604,dutron-polymers-ltd,dutronpolyme
605,dwarikesh-sugar-industries-ltd,dwarkesh
606,dwitiya-trading-ltd,stk-538608
607,dynacons-systems-&-solutions-ltd,dssl
608,dynamatic-technologies-ltd,dynamatech
609,dynamic-industries-ltd,dynamicind
610,dynamic-portfolio-management-&-services-ltd,dynamicport
611,dynemic-products-ltd,dynemicprod
612,e-land-apparel-ltd,mudra
613,eastcoast-steel-ltd,estcststel
614,eastern-gases-ltd,easterngases
615,eastern-silk-industries-ltd,eastsilk
616,eastern-sugar-&-industries-ltd,eastsugind
617,eastern-treads-ltd,easterntread
618,easun-reyrolle-ltd,easunreyrl
619,ece-industries-ltd,eceind
620,eco-friendly-food-processing-park-ltd,ecofriendly
621,ecoboard-industries-ltd,westernbio
622,ecoplast-ltd,ecoplast
623,edelweiss-financial-services-ltd,edelweiss
624,edserv-softsystems-ltd,edserv
625,educomp-solutions-ltd,educomp
626,eduexel-infotainment-ltd,eduexelinfot
627,edynamics-solutions-ltd,edynamicsol
628,effulgent-infomedia-ltd,effulgentinf
629,eid-parry-,eidparry
630,eih-associated-hotels-ltd,eihahotels
631,eih-ltd,eihotel
632,eimco-elecon-,eimcoeleco
633,ekam-leasing-&-finance-company-ltd,ekamleafin
634,elantas-beck-india-ltd,drbeck
635,elcid-investments-ltd,elcidinvest
636,eldeco-housing-&-industries-ltd,eldecohsg
637,elder-health-care-ltd,elderhealth
638,elder-pharmaceuticals-ltd,elderpharm
639,elecon-engineering-company-ltd,elecon
640,electrosteel-castings-ltd,electcast
641,electrosteel-steels-ltd,esl
642,electrotherm-,electherm
643,elegant-marbles-&-grani-industries-ltd,elegantmarbl
644,elgi-equipments-ltd,elgiequip
645,elixir-capital-ltd,axiscapital
646,ellenbarrie-industrial-gases-ltd,ellenbarrie
647,elnet-technologies-ltd,elnet
648,elpro-international-ltd,elprointl
649,emami-infrastructure-ltd,emamiinfra
650,emami-paper-mills-ltd,emamipaper
651,emco-ltd,emco
652,emedcom-technologies-ltd,emedcomtech
653,emerald-leasing-finance-&-investment-company-ltd,stk-538882
654,emergent-global-edu-&-services-ltd,emergentenrg
655,emgee-cables-&-communications-ltd,emgeecables
656,emkay-global-financial-services-ltd,emkay
657,emmbi-industries-ltd,emmbi
658,emmessar-biotech-&-nutrition-ltd,emmessarbio
659,emmsons-international-ltd,emmsonsintl
660,empee-distilleries-ltd,edl
661,empee-sugars-&-chemicals-ltd,empeesug
662,empire-industries-ltd,empireind
663,emporis-projects-ltd,emporisproj
664,empower-india-ltd,empowerindia
665,enbee-trade-&-finance-ltd,enbeetrade
666,encore-software-ltd,encoresoft
667,endurance-technologies-ltd,endurance
668,energy-development-company-ltd,energydev
669,ennore-coke-ltd,ennorecoke
670,entegra-ltd,entegra
671,enterprise-international-ltd,enterprisein
672,entertainment-network-,enil
673,eon-electric-ltd,eon
674,epc-industries-ltd,epcind
675,epic-energy-ltd,epicenergy
676,era-infra-engineering-ltd,erainfra
677,eris-lifesciences-ltd,eris
678,eros-international-media-ltd,erosmedia
679,esaar-,esaarind
680,esab-india-ltd,esabindia
